Time,value
2.88,0.47818
2.9,0.7731
2.92,0.75566
2.94,0.65114
2.96,0.41117
2.98,0.60289
3.0,0.4232
3.02,0.12994
3.04,0.77081
3.06,0.1509
3.08,-0.18069
3.1,-0.17335
3.12,-0.31233
3.14,-0.37914
3.16,-1.15205
3.18,-0.69638
3.2,-0.42419
3.22,-1.06624
3.24,-0.8837
3.26,-0.71585
3.28,-0.82084
3.3,-0.73548
3.32,-1.59896
3.34,-1.31871
3.36,-1.36323
3.38,-1.16024
3.4,-1.07127
3.42,-2.03294
3.44,-1.09778
3.46,-1.72923
3.48,-1.18368
3.5,-1.70451
3.52,-1.25469
3.54,-0.95767
3.56,-1.24232
3.58,-1.09738
3.6,-0.87818
3.62,-0.96726
3.64,-0.94348
3.66,-0.45125
3.68,-0.48098
3.7,-0.72135
3.72,0.13639
3.74,-0.73692
3.76,-0.12107
3.78,-0.31592
3.8,-0.11743
3.82,0.12244
3.84,0.09523
3.86,0.28865
3.88,-0.16858
3.9,-0.08575
3.92,0.51708
3.94,0.1869
3.96,0.22737
3.98,0.1643
4.0,0.88723
4.02,0.78671
4.04,0.98815
4.06,0.39546
4.08,0.63029
4.1,0.33528
4.12,0.79249
4.14,0.96952
4.16,0.31166
4.18,0.87767
4.2,0.67979
4.22,0.32595
4.24,-0.19184
4.26,0.57743
4.28,0.121
4.3,-0.09079
4.32,0.07115
4.34,-0.01749
4.36,0.16173
4.38,-0.56123
4.4,-0.11509
4.42,-0.11884
4.44,-0.21671
4.46,-0.71061
4.48,-0.9328
4.5,-0.56826
4.52,-0.86412
4.54,-0.92502
4.56,-0.65558
4.58,-1.12484
4.6,-1.67171
4.62,-1.22362
4.64,-1.60996
4.66,-0.95152
4.68,-1.07658
4.7,-1.29808
4.72,-1.12694
4.74,-0.8856
4.76,-1.03341
4.78,-0.67139
4.8,-0.95913
4.82,-0.61591
4.84,-0.42732
4.86,-0.31459
4.88,-0.79531
4.9,-0.31191
4.92,-0.90052
4.94,-0.59801
4.96,-0.71051
4.98,0.15683
5.0,-0.30798
5.02,0.10722
5.04,0.17175
5.06,0.32002
5.08,0.28364
5.1,0.5903
5.12,1.07518
5.14,0.72813
5.16,0.93294
5.18,1.12613
5.2,0.89432
5.22,0.6881
5.24,0.9143
5.26,1.36216
5.28,0.71299
5.3,0.99582
5.32,1.40769
5.34,1.3544
5.36,1.14838
5.38,1.32813
5.4,1.13902
5.42,0.76425
5.44,0.62065
5.46,0.79633
5.48,1.1236
5.5,0.68151
5.52,0.52121
5.54,0.47271
5.56,0.19682
5.58,0.46136
5.6,0.10425
5.62,0.39723
5.64,-0.37723
5.66,0.20193
5.68,-0.13165
5.7,-0.54546
5.72,0.03611
5.74,-0.29464
5.76,-0.85866
5.78,-0.58918
5.8,-0.36003
5.82,-0.60223
5.84,-0.33922
5.86,-0.38527
5.88,-0.43443
5.9,-0.5387
5.92,-0.29661
5.94,-0.46493
5.96,-0.50708
5.98,-1.12107
6.0,-0.34649
6.02,-0.20448
6.04,-0.55826
6.06,-0.54506
6.08,0.12173
6.1,-0.73117
6.12,-0.09604
6.14,0.47694
6.16,-0.27157
6.18,0.22621
6.2,0.62212
6.22,0.21944
6.24,0.49002
6.26,0.67586
6.28,0.3235
6.3,0.62563
6.32,0.8163
6.34,1.04091
6.36,0.91273
6.38,0.95377
6.4,0.82344
6.42,1.05541
6.44,1.42791
6.46,1.28177
6.48,1.08539
6.5,1.12108
6.52,2.02113
6.54,1.65232
6.56,1.5293
6.58,0.714
6.6,1.49959
6.62,1.43623
6.64,1.69902
6.66,1.3373
6.68,1.15673
6.7,1.23886
6.72,0.54884
6.74,1.21254
6.76,0.94824
6.78,0.59858
6.8,1.00772
6.82,1.02699
6.84,0.11943
6.86,0.19687
6.88,0.32875
6.9,0.19435
6.92,-0.05749
6.94,-0.30567
6.96,0.36682
6.98,-0.0011
7.0,-0.65123
7.02,-0.77536
7.04,-0.09317
7.06,-0.34421
7.08,-0.20083
7.1,-0.50959
7.12,-0.97718
7.14,-0.73162
7.16,-1.36473
7.18,-1.02977
7.2,-0.8655
7.22,-0.71814
7.24,-1.01889
7.26,-0.84657
7.28,-0.67002
7.3,-0.65068
7.32,-0.53708
7.34,-0.58818
7.36,-0.65803
7.38,-0.30989
7.4,-0.41928
7.42,-0.55775
7.44,-0.42339
7.46,-0.1797
7.48,-0.11771
7.5,0.03925
7.52,0.09019
7.54,0.22358
7.56,0.23334
7.58,0.03662
7.6,0.53696
7.62,0.7706
7.64,0.68571
7.66,0.59311
7.68,0.80819
7.7,0.50343
7.72,0.31062
7.74,0.8304
7.76,0.60438
7.78,1.03379
7.8,0.57975
7.82,0.18561
7.84,0.56483
7.86,1.19131
7.88,0.66371
7.9,0.36977
7.92,0.46524
7.94,0.72172
7.96,0.64317
7.98,0.48329
8.0,0.72364
8.02,0.43708
8.04,0.15805
8.06,0.21129
8.08,0.37151
8.1,0.09434
8.12,1e-05
8.14,-0.63416
8.16,-0.50714
8.18,-0.39219
8.2,-0.75044
8.22,-0.50688
8.24,-0.71794
8.26,-0.72716
8.28,-1.08798
8.3,-0.47165
8.32,-0.8636
8.34,-1.28422
8.36,-1.25535
8.38,-0.66726
8.4,-1.43003
8.42,-1.14369
8.44,-1.12484
8.46,-1.3657
8.48,-1.64625
8.5,-1.2846
8.52,-1.20881
8.54,-0.97392
8.56,-1.00927
8.58,-1.13907
8.6,-0.86407
8.62,-0.86764
8.64,-0.86985
8.66,-0.82076
8.68,-0.80394
8.7,-0.47636
8.72,-0.81349
8.74,-0.60738
8.76,-0.34848
8.78,-0.61548
8.8,-0.25949
8.82,-0.55602
8.84,-0.13105
8.86,0.2711
8.88,0.35485
8.9,0.278
8.92,0.30532
8.94,0.07348
8.96,0.94098
8.98,0.66082
9.0,0.844
9.02,0.37949
9.04,0.57357
9.06,0.17501
9.08,0.82516
9.1,0.85414
9.12,0.12663
9.14,0.55913
9.16,0.6918
9.18,0.04708
9.2,-0.02358
9.22,0.10414
9.24,0.14385
9.26,-0.12495
9.28,0.15297
9.3,0.12233
9.32,0.12975
9.34,0.05552
9.36,0.16287
9.38,-0.01511
9.4,-0.72712
9.42,-0.61703
9.44,-0.8448
9.46,-0.93461
9.48,-0.76712
9.5,-0.82153
9.52,-0.77033
9.54,-1.3528
9.56,-1.32105
9.58,-1.06475
9.6,-1.14739
9.62,-1.20464
9.64,-1.16228
9.66,-1.34615
9.68,-0.98052
9.7,-1.05671
9.72,-1.14648
9.74,-1.26178
9.76,-1.09669
9.78,-1.68342
9.8,-1.18913
9.82,-0.86666
9.84,-1.17622
9.86,-0.66718
9.88,-0.5905
9.9,-0.87627
9.92,-0.49416
9.94,-0.40563
9.96,-0.10484
9.98,0.04256
