Time,gaze
7.26,0.42673
7.28,0.48638
7.3,0.47232
7.32,0.47583
7.34,0.43236
7.36,0.47410
7.38,0.37064
7.4,0.41772
7.42,0.30107
7.44,0.48412
7.46,0.46903
7.48,0.34974
7.5,0.32671
7.52,0.25296
7.54,0.26929
7.56,0.33929
7.58,0.31196
7.6,0.23200
7.62,0.26610
7.64,0.24251
7.66,0.28330
7.68,0.27881
7.7,0.21526
7.72,0.21436
7.74,0.19019
7.76,0.06733
7.78,0.16165
7.8,0.12988
7.82,0.15066
7.84,0.00097
7.86,0.11030
7.88,0.01909
7.9,0.04305
7.92,0.06867
7.94,-0.08753
7.96,-0.10136
7.98,-0.00825
8,-0.13739
