Time,neuralsync
3.58,0.78380
3.6,0.79138
3.62,0.84999
3.64,0.87563
3.66,0.94648
3.68,0.92294
3.7,0.83763
3.72,0.74989
3.74,0.97820
3.76,0.96323
3.78,0.73380
3.8,0.78427
3.82,0.51585
3.84,0.44444
3.86,0.49829
3.88,0.59017
3.9,0.24999
3.92,0.17773
3.94,0.32430
3.96,-0.12633
3.98,0.02545
4,-0.09291
4.02,-0.26375
4.04,-0.32318
4.06,-0.17481
4.08,-0.63919
4.1,-0.64059
4.12,-0.70754
4.14,-0.81782
4.16,-0.93764
4.18,-0.68722
4.2,-0.85535
4.22,-1.07105
4.24,-0.97011
4.26,-0.85036
4.28,-0.82817
4.3,-0.97695
4.32,-0.79374
4.34,-0.69818
4.36,-0.61357
4.38,-0.53190
4.4,-0.66344
4.42,-0.19886
4.44,-0.25904
4.46,0.00807
4.48,0.22396
4.5,0.03260
4.52,0.03542
4.54,0.35279
4.56,0.35170
4.58,0.42230
4.6,0.45459
4.62,0.80866
4.64,0.66790
4.66,0.63378
4.68,0.77901
4.7,0.74584
4.72,0.90247
4.74,0.85687
4.76,0.79212
4.78,0.94412
4.8,0.79300
4.82,0.89090
4.84,0.89421
4.86,0.67070
4.88,0.57116
4.9,0.57585
4.92,0.55753
4.94,0.37421
4.96,0.28956
4.98,0.17031
5,0.09935
5.02,0.02558
5.04,-0.21273
5.06,-0.29309
5.08,-0.33969
5.1,-0.50501
5.12,-0.51313
5.14,-0.55420
5.16,-0.68276
5.18,-0.80448
5.2,-0.87534
5.22,-0.66527
5.24,-0.78405
5.26,-1.00378
5.28,-0.98392
5.3,-0.70854
5.32,-0.72906
5.34,-0.84005
5.36,-0.69854
5.38,-0.91381
5.4,-0.70577
5.42,-0.56340
5.44,-0.74677
5.46,-0.55508
5.48,-0.30834
5.5,-0.17832
5.52,-0.25194
5.54,-0.06230
5.56,0.17125
5.58,0.07525
5.6,0.08086
5.62,0.30598
5.64,0.36666
5.66,0.62464
5.68,0.59268
5.7,0.57112
5.72,0.95762
5.74,0.72451
5.76,0.86873
5.78,0.92547
5.8,0.96159
5.82,0.91440
5.84,0.95817
5.86,0.88355
5.88,0.72782
5.9,0.81598
5.92,0.77559
5.94,0.72493
5.96,0.69406
5.98,0.54701
6,0.66302
6.02,0.60180
6.04,0.13382
6.06,0.25899
6.08,0.08791
6.1,-0.20277
6.12,-0.00298
6.14,-0.20715
6.16,-0.28226
6.18,-0.40611
6.2,-0.32415
6.22,-0.39527
6.24,-0.57122
6.26,-0.60163
6.28,-0.74563
6.3,-0.77442
6.32,-0.90658
6.34,-0.86226
6.36,-0.95933
6.38,-0.86155
6.4,-0.81551
6.42,-0.85504
6.44,-0.74431
6.46,-0.55925
6.48,-0.99389
6.5,-0.72682
6.52,-0.72070
6.54,-0.63666
6.56,-0.64641
6.58,-0.41843
6.6,-0.35717
6.62,-0.29806
6.64,-0.16065
6.66,-0.09320
6.68,-0.16649
6.7,0.27640
6.72,0.23701
6.74,0.26768
6.76,0.48393
6.78,0.47190
6.8,0.39872
6.82,0.77492
6.84,0.57989
6.86,0.77750
6.88,0.85293
6.9,1.00670
6.92,1.01043
6.94,0.91629
6.96,0.82018
6.98,0.84027
7,0.96470
7.02,0.99772
7.04,0.82612
7.06,0.65007
7.08,0.75118
7.1,0.53612
7.12,0.45093
7.14,0.37560
7.16,0.36915
7.18,0.24033
7.2,0.21203
7.22,0.14090
7.24,-0.03905
7.26,-0.42407
7.28,-0.45855
7.3,-0.36738
7.32,-0.47916
7.34,-0.34018
7.36,-0.63543
7.38,-0.71590
7.4,-0.66552
7.42,-0.70304
7.44,-0.87224
7.46,-0.82976
7.48,-1.00761
7.5,-0.99432
7.52,-0.77094
7.54,-1.01778
7.56,-0.75645
7.58,-0.74167
7.6,-0.68291
7.62,-0.60932
7.64,-0.57598
7.66,-0.77020
7.68,-0.57308
7.7,-0.44332
7.72,-0.19735
7.74,-0.30357
7.76,-0.16080
7.78,-0.02496
7.8,0.24446
7.82,0.06876
7.84,0.17480
7.86,0.46627
7.88,0.27921
7.9,0.60689
7.92,0.60288
7.94,0.55690
7.96,0.72975
7.98,0.71889
8,0.87273
