Time,bodysync
2.18,-0.32028
2.2,-0.04786
2.22,-0.08898
2.24,0.12869
2.26,0.05454
2.28,0.39289
2.3,0.41312
2.32,0.44776
2.34,0.75213
2.36,0.76388
2.38,0.78213
2.4,0.78469
2.42,0.89594
2.44,0.92988
2.46,1.03251
2.48,1.05746
2.5,0.94658
2.52,0.94966
2.54,0.93196
2.56,0.83505
2.58,0.85208
2.6,0.83694
2.62,0.83374
2.64,0.80828
2.66,0.55319
2.68,0.56925
2.7,0.39022
2.72,0.48696
2.74,0.20811
2.76,0.14053
2.78,-0.08746
2.8,-0.19019
2.82,-0.22036
2.84,-0.37537
2.86,-0.42012
2.88,-0.67134
2.9,-0.58446
2.92,-0.79227
2.94,-0.65620
2.96,-0.88060
2.98,-0.82232
3,-1.06266
3.02,-0.94554
3.04,-1.06718
3.06,-1.03864
3.08,-0.98849
3.1,-0.99395
3.12,-0.91319
3.14,-0.82832
3.16,-0.77837
3.18,-0.76944
3.2,-0.79362
3.22,-0.66228
3.24,-0.51928
3.26,-0.57265
3.28,-0.23688
3.3,-0.20655
3.32,-0.09543
3.34,0.11356
3.36,0.20366
3.38,0.27852
3.4,0.28802
3.42,0.49554
3.44,0.59496
3.46,0.58580
3.48,0.82098
3.5,0.84965
3.52,0.71261
3.54,0.92999
3.56,0.85735
3.58,1.07547
3.6,1.06259
3.62,0.91045
3.64,0.91590
3.66,0.97018
3.68,0.90597
3.7,0.99832
3.72,0.87562
3.74,0.72335
3.76,0.71220
3.78,0.41499
3.8,0.50654
3.82,0.44909
3.84,0.25864
3.86,0.10582
3.88,0.09551
3.9,0.09390
3.92,-0.15863
3.94,-0.37467
3.96,-0.27571
3.98,-0.64301
4,-0.54753
4.02,-0.72189
4.04,-0.67980
4.06,-0.89149
4.08,-0.77638
4.1,-0.90575
4.12,-1.10353
4.14,-1.14656
4.16,-1.02458
4.18,-0.89362
4.2,-0.97212
4.22,-0.94949
4.24,-0.93411
4.26,-0.80489
4.28,-0.77138
4.3,-0.70654
4.32,-0.72583
4.34,-0.46185
4.36,-0.35053
4.38,-0.46052
4.4,-0.06457
4.42,-0.07999
4.44,-0.06417
4.46,-0.06450
4.48,0.25226
4.5,0.35362
4.52,0.36673
4.54,0.37120
4.56,0.69789
4.58,0.64659
4.6,0.73277
4.62,1.06518
4.64,1.06408
4.66,1.01503
4.68,0.93520
4.7,1.04407
4.72,0.81740
4.74,1.00347
4.76,0.91648
4.78,0.84425
4.8,0.77820
4.82,0.89301
4.84,0.79343
4.86,0.72431
4.88,0.69508
4.9,0.46814
4.92,0.33827
4.94,0.19071
4.96,0.19746
4.98,0.17367
5,-0.01195
5.02,-0.06157
5.04,-0.31876
5.06,-0.37035
5.08,-0.49839
5.1,-0.63570
5.12,-0.47893
5.14,-0.64336
5.16,-0.84723
5.18,-0.91228
5.2,-0.90940
5.22,-1.06246
5.24,-0.94240
5.26,-1.09849
5.28,-1.02956
5.3,-1.07410
5.32,-1.01002
5.34,-1.04523
5.36,-1.01967
5.38,-0.91482
5.4,-0.82491
5.42,-0.71724
5.44,-0.60241
5.46,-0.39229
5.48,-0.34940
5.5,-0.32925
5.52,-0.14164
5.54,-0.14296
5.56,0.14101
5.58,0.18175
5.6,0.14022
5.62,0.41684
5.64,0.52487
5.66,0.34203
5.68,0.58721
5.7,0.69106
5.72,0.64729
5.74,0.77855
5.76,0.83937
5.78,0.99543
5.8,1.00632
5.82,1.20725
5.84,0.96775
5.86,1.08091
5.88,0.97169
5.9,0.95145
5.92,0.78952
5.94,0.67066
5.96,0.69288
5.98,0.73631
6,0.71441
6.02,0.54105
6.04,0.43124
6.06,0.21792
6.08,0.29777
6.1,0.17030
6.12,-0.09271
6.14,-0.16635
6.16,-0.35264
6.18,-0.26240
6.2,-0.44925
6.22,-0.58518
6.24,-0.63346
6.26,-0.71069
6.28,-0.84926
6.3,-0.97563
6.32,-1.02778
6.34,-1.10110
6.36,-0.94979
6.38,-0.82125
6.4,-1.13395
6.42,-0.97350
6.44,-0.92564
6.46,-0.99900
6.48,-0.85383
6.5,-0.89677
6.52,-0.64148
6.54,-0.70413
6.56,-0.55922
6.58,-0.41596
6.6,-0.40251
6.62,-0.40414
6.64,-0.19273
6.66,0.02335
6.68,0.06856
6.7,0.20576
6.72,0.21061
6.74,0.41436
6.76,0.56188
6.78,0.60082
6.8,0.83719
6.82,0.74582
6.84,0.74729
6.86,0.75872
6.88,1.02649
6.9,0.96386
6.92,1.07139
6.94,1.03630
6.96,1.12614
6.98,1.08114
7,0.92085
7.02,0.93202
7.04,0.94436
7.06,0.69510
7.08,0.83638
7.1,0.73438
7.12,0.62503
7.14,0.43231
7.16,0.36881
7.18,0.14712
7.2,0.12997
7.22,-0.03442
7.24,-0.09344
7.26,-0.25158
7.28,-0.29824
7.3,-0.33143
7.32,-0.62994
7.34,-0.54383
7.36,-0.86199
7.38,-0.95134
7.4,-0.85388
7.42,-0.89887
7.44,-0.90757
7.46,-1.10632
7.48,-0.99841
7.5,-0.98988
7.52,-0.89319
7.54,-0.98283
7.56,-0.90067
7.58,-0.97760
7.6,-0.85933
7.62,-0.81411
7.64,-0.64639
7.66,-0.69697
7.68,-0.59192
7.7,-0.37970
7.72,-0.17779
7.74,-0.18139
7.76,-0.07608
7.78,-0.01513
7.8,0.21241
7.82,0.27969
7.84,0.48330
7.86,0.47484
7.88,0.47050
7.9,0.59183
7.92,0.64132
7.94,0.69392
7.96,0.95862
7.98,0.97469
8,0.85196
